Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
Apr-25,1,表,0,0,0,FALSE,FALSE,FALSE,大槇優斗,右,吉田悠河,左,ストレート,126,4,3,空振,FALSE,,,,,0,0,,
Apr-25,1,表,0,1,0,FALSE,FALSE,FALSE,大槇優斗,右,吉田悠河,左,ストレート,,5,0,見送,FALSE,,,,,0,0,,
Apr-25,1,表,0,2,0,FALSE,FALSE,FALSE,大槇優斗,右,吉田悠河,左,ストレート,,0,0,空振,FALSE,空三振,,,,1,0,,
Apr-25,1,表,0,0,1,FALSE,FALSE,FALSE,大槇優斗,右,藤井　陸,右,スライダー,,12,1,ボール,FALSE,,,,,0,0,,
Apr-25,1,表,1,0,1,FALSE,FALSE,FALSE,大槇優斗,右,藤井　陸,右,チェンジ,,9,1,空振,FALSE,,,,,0,0,,
Apr-25,1,表,1,1,1,FALSE,FALSE,FALSE,大槇優斗,右,藤井　陸,右,ストレート,133,3,1,ファール,FALSE,,,,,0,0,,
Apr-25,1,表,1,2,1,FALSE,FALSE,FALSE,大槇優斗,右,藤井　陸,右,スライダー,124,14,1,ボール,FALSE,,,,,0,0,,
Apr-25,1,表,2,2,1,FALSE,FALSE,FALSE,大槇優斗,右,藤井　陸,右,ストレート,132,11,1,ボール,FALSE,,,,,0,0,,
Apr-25,1,表,3,2,1,FALSE,FALSE,FALSE,大槇優斗,右,藤井　陸,右,ストレート,127,2,1,ファール,FALSE,,,,,0,0,,
Apr-25,1,表,3,2,1,FALSE,FALSE,FALSE,大槇優斗,右,藤井　陸,右,ストレート,132,8,1,見送,FALSE,見三振,,,,1,0,,
Apr-25,1,表,0,0,2,FALSE,FALSE,FALSE,大槇優斗,右,彦田瑛太,右,カーブ,108,1,1,インプレー,FALSE,,凡打,ゴロ,三,1,0,,
Apr-25,1,裏,0,0,0,FALSE,FALSE,FALSE,山口蒼介,右,今岡歩夢,左,スライダー,117,7,3,見送,FALSE,,,,,0,0,,
Apr-25,1,裏,0,1,0,FALSE,FALSE,FALSE,山口蒼介,右,今岡歩夢,左,スライダー,113,13,3,ボール,FALSE,,,,,0,0,,
Apr-25,1,裏,1,1,0,FALSE,FALSE,FALSE,山口蒼介,右,今岡歩夢,左,ストレート,131,13,3,ボール,FALSE,,,,,0,0,,
Apr-25,1,裏,2,1,0,FALSE,FALSE,FALSE,山口蒼介,右,今岡歩夢,左,スライダー,107,4,3,見送,FALSE,,,,,0,0,,
Apr-25,1,裏,2,2,0,FALSE,FALSE,FALSE,山口蒼介,右,今岡歩夢,左,フォーク,121,14,2,ボール,FALSE,,,,,0,0,,
Apr-25,1,裏,3,2,0,FALSE,FALSE,FALSE,山口蒼介,右,今岡歩夢,左,ストレート,119,4,3,インプレー,FALSE,,失策,ゴロ,二,0,0,,
Apr-25,1,裏,0,0,0,TRUE,FALSE,FALSE,山口蒼介,右,三上武流,右,ストレート,119,9,1,見送,FALSE,,,,,0,0,,
Apr-25,1,裏,0,1,0,TRUE,FALSE,FALSE,山口蒼介,右,三上武流,右,スライダー,,3,1,インプレー,FALSE,,犠打,ゴロ,捕,1,0,,
Apr-25,1,裏,0,0,1,TRUE,FALSE,FALSE,山口蒼介,右,川合錬磨,右,スライダー,111,14,1,ボール,FALSE,,,,,0,0,,
Apr-25,1,裏,1,0,1,TRUE,FALSE,FALSE,山口蒼介,右,川合錬磨,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
Apr-25,1,裏,1,0,1,TRUE,FALSE,FALSE,山口蒼介,右,川合錬磨,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
Apr-25,1,裏,2,0,1,TRUE,FALSE,FALSE,山口蒼介,右,川合錬磨,右,スライダー,,9,0,見送,FALSE,,,,,0,0,,
Apr-25,1,裏,2,1,1,TRUE,FALSE,FALSE,山口蒼介,右,川合錬磨,右,スライダー,,14,0,ボール,FALSE,,,,,0,0,,
Apr-25,1,裏,3,1,1,TRUE,FALSE,FALSE,山口蒼介,右,川合錬磨,右,,,0,0,ボール,FALSE,四球,,,,0,0,,
Apr-25,1,裏,0,0,1,TRUE,TRUE,FALSE,山口蒼介,右,南　早羽己,左,スライダー,,11,3,ボール,FALSE,,,,,0,0,,
Apr-25,1,裏,1,0,1,TRUE,TRUE,FALSE,山口蒼介,右,南　早羽己,左,ストレート,127,14,3,ボール,FALSE,,,,,0,0,,
Apr-25,1,裏,2,0,1,TRUE,TRUE,FALSE,山口蒼介,右,南　早羽己,左,カーブ,102,11,3,ボール,FALSE,,,,,0,0,,
Apr-25,1,裏,3,0,1,TRUE,TRUE,FALSE,山口蒼介,右,南　早羽己,左,ストレート,121,7,3,見送,FALSE,,,,,0,0,,
Apr-25,1,裏,3,1,1,TRUE,TRUE,FALSE,山口蒼介,右,南　早羽己,左,スライダー,,4,3,インプレー,FALSE,,単打,ゴロ,中,0,1,,
Apr-25,1,裏,0,0,1,TRUE,TRUE,FALSE,山口蒼介,右,角尾頼尊,右,チェンジ,115,4,1,ファール,FALSE,,,,,0,0,,
Apr-25,1,裏,0,1,1,TRUE,TRUE,FALSE,山口蒼介,右,角尾頼尊,右,スライダー,109,11,1,ボール,FALSE,,,,,0,0,,
Apr-25,1,裏,1,1,1,TRUE,TRUE,FALSE,山口蒼介,右,角尾頼尊,右,ストレート,,13,1,ボール,FALSE,,,,,0,0,,
Apr-25,1,裏,2,1,1,TRUE,TRUE,FALSE,山口蒼介,右,角尾頼尊,右,チェンジ,112,12,1,空振,FALSE,,,,,0,0,,
Apr-25,1,裏,2,2,1,TRUE,TRUE,FALSE,山口蒼介,右,角尾頼尊,右,ストレート,,5,1,空振,FALSE,空三振,,,,1,0,,盗塁成功
Apr-25,1,裏,0,0,2,FALSE,TRUE,TRUE,山口蒼介,右,新田恭也,左,ストレート,112,11,3,ボール,FALSE,,,,,0,0,,
Apr-25,1,裏,1,0,2,FALSE,TRUE,TRUE,山口蒼介,右,新田恭也,左,ストレート,126,4,3,見送,FALSE,,,,,0,0,,
Apr-25,1,裏,1,1,2,FALSE,TRUE,TRUE,山口蒼介,右,新田恭也,左,チェンジ,,13,3,ボール,FALSE,,,,,0,0,,
Apr-25,1,裏,2,1,2,FALSE,TRUE,TRUE,山口蒼介,右,新田恭也,左,ストレート,122,11,3,ボール,FALSE,,,,,0,0,,
Apr-25,1,裏,3,1,2,FALSE,TRUE,TRUE,山口蒼介,右,新田恭也,左,ストレート,126,13,3,ボール,FALSE,四球,,,,0,0,,
Apr-25,1,裏,0,0,2,TRUE,TRUE,TRUE,山口蒼介,右,後藤耀介,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
Apr-25,1,裏,1,0,2,TRUE,TRUE,TRUE,山口蒼介,右,後藤耀介,右,ストレート,123,11,1,ボール,FALSE,,,,,0,0,,
Apr-25,1,裏,2,0,2,TRUE,TRUE,TRUE,山口蒼介,右,後藤耀介,右,ストレート,,4,1,見送,FALSE,,,,,0,0,,
Apr-25,1,裏,2,1,2,TRUE,TRUE,TRUE,山口蒼介,右,後藤耀介,右,ストレート,,9,1,インプレー,FALSE,,凡打,フライ,右,1,0,,
Apr-25,2,表,0,0,0,FALSE,FALSE,FALSE,大槇優斗,右,大宗拓夢,右,スライダー,112,0,1,ボール,FALSE,,,,,0,0,,
Apr-25,2,表,1,0,0,FALSE,FALSE,FALSE,大槇優斗,右,大宗拓夢,右,スライダー,,11,0,ボール,FALSE,,,,,0,0,,
Apr-25,2,表,2,0,0,FALSE,FALSE,FALSE,大槇優斗,右,大宗拓夢,右,ストレート,132,9,1,見送,FALSE,,,,,0,0,,
Apr-25,2,表,2,1,0,FALSE,FALSE,FALSE,大槇優斗,右,大宗拓夢,右,ストレート,130,14,1,ボール,FALSE,,,,,0,0,,
Apr-25,2,表,3,1,0,FALSE,FALSE,FALSE,大槇優斗,右,大宗拓夢,右,ストレート,130,11,1,ボール,FALSE,四球,,,,0,0,,
Apr-25,2,表,0,0,0,TRUE,FALSE,FALSE,大槇優斗,右,堤　悠一朗,左,ストレート,,2,1,インプレー,FALSE,,凡打,ゴロ,投,1,0,,バント失敗
Apr-25,2,表,0,0,1,TRUE,FALSE,FALSE,大槇優斗,右,悟道大和,右,ストレート,133,9,1,見送,FALSE,,,,,0,0,,
Apr-25,2,表,0,1,1,TRUE,FALSE,FALSE,大槇優斗,右,悟道大和,右,スライダー,121,11,1,ボール,FALSE,,,,,0,0,,
Apr-25,2,表,1,1,1,TRUE,FALSE,FALSE,大槇優斗,右,悟道大和,右,ストレート,132,6,1,見送,FALSE,,,,,0,0,,
Apr-25,2,表,1,2,1,TRUE,FALSE,FALSE,大槇優斗,右,悟道大和,右,スライダー,116,1,1,ファール,FALSE,,,,,0,0,,
Apr-25,2,表,1,2,1,TRUE,FALSE,FALSE,大槇優斗,右,悟道大和,右,ストレート,130,9,1,空振,FALSE,空三振,,,,1,0,,
Apr-25,2,表,0,0,2,TRUE,FALSE,FALSE,大槇優斗,右,岡本旺大,右,ストレート,135,4,1,ファール,FALSE,,,,,0,0,,
Apr-25,2,表,0,1,2,TRUE,FALSE,FALSE,大槇優斗,右,岡本旺大,右,スライダー,122,14,1,空振,FALSE,,,,,0,0,,
Apr-25,2,表,0,2,2,TRUE,FALSE,FALSE,大槇優斗,右,岡本旺大,右,スライダー,122,9,1,見送,FALSE,見三振,,,,1,0,,
Apr-25,2,裏,0,0,0,FALSE,FALSE,FALSE,山口蒼介,右,久米川貫太,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
Apr-25,2,裏,1,0,0,FALSE,FALSE,FALSE,山口蒼介,右,久米川貫太,右,スライダー,,6,1,見送,FALSE,,,,,0,0,,
Apr-25,2,裏,1,1,0,FALSE,FALSE,FALSE,山口蒼介,右,久米川貫太,右,カーブ,97,5,1,インプレー,FALSE,,二塁打,フライ,中,0,0,,
Apr-25,2,裏,0,0,0,FALSE,TRUE,FALSE,山口蒼介,右,古俣　秀,右,ストレート,,12,1,インプレー,FALSE,,犠打,ゴロ,投,1,0,,
Apr-25,2,裏,0,0,1,FALSE,FALSE,TRUE,山口蒼介,右,今岡歩夢,左,スライダー,111,11,3,ボール,FALSE,,,,,0,0,,
Apr-25,2,裏,1,0,1,FALSE,FALSE,TRUE,山口蒼介,右,今岡歩夢,左,カーブ,,7,3,インプレー,FALSE,,凡打,ゴロ,一,1,1,,
